index_caracteristique_interieure;surface_carrez;type_local;nombre_ pieces_principales;index_adresse
577;16.54;Appartement;1;577
578;172.21;Appartement;5;578
579;36.11;Appartement;1;579
580;46.34;Appartement;3;580
581;17.05;Appartement;1;581
582;131.09;Appartement;4;582
583;53.84;Appartement;3;583
584;31.2;Appartement;2;584
585;106.78;Maison;3;585
586;86.82;Appartement;3;586
587;23.13;Appartement;1;587
588;78.01;Appartement;3;588
589;38.29;Appartement;2;589
590;45.51;Appartement;4;590
591;33.27;Appartement;2;591
592;81.04;Appartement;4;592
593;26.51;Appartement;1;593
594;73.71;Appartement;5;594
595;22.24;Appartement;1;595
596;44.01;Appartement;2;596
597;25.75;Appartement;2;597
598;66.41;Appartement;4;598
599;68.39;Appartement;3;599
600;154;Appartement;5;600
601;81.26;Appartement;3;601
602;54.03;Appartement;2;602
603;34.81;Appartement;2;603
604;48.02;Appartement;2;604
605;27.57;Appartement;2;605
606;44.15;Appartement;3;606
607;82.1;Appartement;3;607
608;34.65;Appartement;2;608
609;37.1;Appartement;2;609
610;53.08;Appartement;2;610
611;13.55;Appartement;1;611
612;60.77;Appartement;4;612
613;22.2;Appartement;1;613
614;95.59;Appartement;3;614
615;26.41;Appartement;2;615
616;60.32;Appartement;2;616
617;42.14;Appartement;2;617
618;88.1;Appartement;3;618
619;69.7;Appartement;3;619
620;104.48;Appartement;4;620
621;44.49;Appartement;1;621
622;26.55;Appartement;1;622
623;76.2;Appartement;4;623
624;26.67;Appartement;1;624
625;38.1;Appartement;2;625
626;265.26;Appartement;5;626
627;80.6;Appartement;3;627
628;22.08;Appartement;1;628
629;44.36;Appartement;2;629
630;56.1;Appartement;4;630
631;55.11;Appartement;3;631
632;49.73;Appartement;2;632
633;20.77;Appartement;5;633
634;64.63;Maison;3;634
635;72.8;Appartement;3;635
636;42.24;Appartement;2;636
637;44.77;Appartement;2;637
638;91;Appartement;3;638
639;42.9;Appartement;1;639
640;51.15;Appartement;2;640
641;78.87;Appartement;3;641
642;15.24;Appartement;1;642
643;220.02;Appartement;7;643
644;271.58;Appartement;1;644
645;22.75;Appartement;1;645
646;35.87;Appartement;2;646
647;131.19;Appartement;4;647
648;110.6;Appartement;4;648
649;50.32;Appartement;2;649
650;33.33;Appartement;2;650
651;63.6;Maison;4;651
652;19.39;Appartement;1;652
653;9.82;Appartement;1;653
654;51.5;Appartement;2;654
655;185.05;Appartement;3;655
656;60.13;Appartement;2;656
657;45;Appartement;2;657
658;55.86;Appartement;2;658
659;90.53;Appartement;4;659
660;80.27;Appartement;4;660
661;34.93;Appartement;2;661
662;44.12;Appartement;2;662
663;6.67;Appartement;1;663
664;15.9;Appartement;1;664
665;26.2;Appartement;1;665
666;34.39;Appartement;1;666
667;115.22;Appartement;4;667
668;37.98;Appartement;1;668
669;80.71;Appartement;4;669
670;109.5;Appartement;5;670
671;77.62;Appartement;2;671
672;41.24;Appartement;2;672
673;62.5;Appartement;4;673
674;50.04;Appartement;3;674
675;89.66;Appartement;4;675
676;32.6;Appartement;2;676
677;66.35;Appartement;3;677
678;91.17;Appartement;5;678
679;56.89;Appartement;3;679
680;89.5;Appartement;3;680
681;44.11;Appartement;3;681
682;33.04;Appartement;3;682
683;26.05;Appartement;1;683
684;18.69;Appartement;1;684
685;34.33;Appartement;1;685
686;36.55;Appartement;2;686
687;38.58;Appartement;2;687
688;40.75;Appartement;2;688
689;53.19;Appartement;3;689
690;61.35;Appartement;3;690
691;74.62;Appartement;3;691
692;56.19;Appartement;2;692
693;98.18;Appartement;3;693
694;38.82;Appartement;3;694
695;14.35;Appartement;1;695
696;41.36;Appartement;2;696
697;150.36;Appartement;5;697
698;18.18;Appartement;1;698
699;18.81;Appartement;1;699
700;32.24;Appartement;1;700
701;164.4;Appartement;1;701
702;89.27;Appartement;4;702
703;86.05;Appartement;4;703
704;64.2;Appartement;3;704
705;69.59;Appartement;3;705
706;52.32;Appartement;4;706
707;75.25;Appartement;2;707
708;57.1;Appartement;3;708
709;35.02;Appartement;2;709
710;114.02;Appartement;5;710
711;58.27;Appartement;3;711
712;142.86;Appartement;3;712
713;34.02;Appartement;2;713
714;59.25;Appartement;2;714
715;26.75;Appartement;2;715
716;56.05;Appartement;2;716
717;51.15;Appartement;2;717
718;27.03;Appartement;1;718
719;22.24;Appartement;2;719
720;140.7;Appartement;4;720
721;35.5;Appartement;1;721
722;68.6;Appartement;3;722
723;73.07;Appartement;3;723
724;53.37;Appartement;2;724
725;83.52;Appartement;4;725
726;109;Maison;4;726
727;125.28;Appartement;5;727
728;53.72;Appartement;2;728
729;41.51;Appartement;2;729
730;60.34;Appartement;3;730
731;25.49;Appartement;1;731
732;74.41;Appartement;3;732
733;17.55;Appartement;1;733
734;36.22;Appartement;3;734
735;28.89;Appartement;1;735
736;56.32;Appartement;3;736
737;33.53;Appartement;2;737
738;27;Appartement;7;738
739;73.43;Appartement;3;739
740;16.8;Appartement;1;740
741;39.79;Appartement;1;741
742;69;Appartement;3;742
743;41.01;Appartement;3;743
744;54.49;Appartement;3;744
745;41.27;Appartement;2;745
746;23.04;Appartement;1;746
747;27.08;Appartement;1;747
748;43.08;Appartement;2;748
749;55.32;Appartement;3;749
750;38.78;Appartement;2;750
751;47.35;Appartement;2;751
752;26.08;Appartement;2;752
753;65.28;Appartement;2;753
754;288.59;Maison;6;754
755;21.83;Appartement;1;755
756;50.01;Appartement;2;756
757;35.53;Appartement;1;757
758;117.5;Appartement;4;758
759;36.4;Appartement;5;759
760;26;Appartement;1;760
761;42.26;Appartement;2;761
762;85.71;Appartement;2;762
763;38.03;Appartement;1;763
764;91.41;Appartement;5;764
765;84.01;Appartement;3;765
766;23.74;Appartement;1;766
767;18.74;Appartement;1;767
768;32.47;Appartement;1;768
769;67.18;Appartement;3;769
770;99.84;Maison;5;770
771;16.13;Appartement;1;771
772;31.43;Appartement;2;772
773;52.8;Appartement;1;773
774;47.5;Appartement;3;774
775;96.39;Maison;5;775
776;107.24;Appartement;4;776
777;55.44;Appartement;2;777
778;91.23;Appartement;4;778
779;41.01;Appartement;2;779
780;99.18;Appartement;4;780
781;67.08;Appartement;3;781
782;46.81;Appartement;2;782
783;29.41;Appartement;1;783
784;20.6;Appartement;1;784
785;72.3;Appartement;4;785
786;29.02;Appartement;1;786
787;64.61;Appartement;3;787
788;61.8;Appartement;3;788
789;136.68;Appartement;6;789
790;75.47;Appartement;3;790
791;36.54;Appartement;1;791
792;29.72;Appartement;2;792
793;44.39;Appartement;2;793
794;27;Appartement;1;794
795;100.56;Maison;5;795
796;30.05;Appartement;2;796
797;17.04;Appartement;1;797
798;20.85;Appartement;1;798
799;34.51;Appartement;2;799
800;68.36;Appartement;3;800
801;68.43;Appartement;3;801
802;31.61;Appartement;1;802
803;20;Appartement;1;803
804;28.71;Appartement;1;804
805;48.52;Appartement;2;805
806;21.55;Appartement;1;806
807;17.25;Appartement;1;807
808;44.36;Appartement;2;808
809;98.81;Appartement;4;809
810;15.85;Appartement;1;810
811;24.3;Appartement;1;811
812;46.69;Appartement;2;812
813;66.48;Appartement;3;813
814;15.85;Appartement;1;814
815;71.85;Appartement;3;815
816;137.53;Appartement;5;816
817;55.77;Appartement;2;817
818;67.6;Appartement;3;818
819;42.7;Appartement;2;819
820;20.18;Appartement;1;820
821;66.3;Appartement;3;821
822;21.01;Appartement;1;822
823;42.01;Appartement;2;823
824;88.56;Appartement;4;824
825;24.7;Appartement;1;825
826;36.43;Appartement;1;826
827;112.42;Appartement;5;827
828;31.18;Appartement;1;828
829;104.93;Appartement;3;829
830;46.03;Appartement;2;830
831;76.15;Appartement;4;831
832;89.07;Appartement;4;832
833;77.11;Appartement;4;833
834;104.93;Appartement;3;834
835;28.34;Appartement;1;835
836;82.41;Maison;4;836
837;59.27;Appartement;2;837
838;61.06;Appartement;3;838
839;157.49;Appartement;5;839
840;70.42;Appartement;4;840
841;54.75;Maison;2;841
842;69.16;Appartement;3;842
843;17.08;Appartement;1;843
844;50.17;Appartement;2;844
845;59.55;Appartement;2;845
846;80.69;Appartement;4;846
847;66.62;Appartement;3;847
848;57.81;Appartement;3;848
849;45.01;Appartement;2;849
850;23.4;Appartement;1;850
851;40.74;Appartement;2;851
852;73.6;Appartement;4;852
853;77.09;Appartement;4;853
854;43.68;Appartement;1;854
855;13.71;Appartement;1;855
856;41.39;Appartement;2;856
857;43.5;Maison;2;857
858;73.09;Appartement;4;858
859;73.67;Maison;3;859
860;26.5;Appartement;1;860
861;102.4;Maison;4;861
862;20.41;Appartement;1;862
863;35.16;Appartement;1;863
864;55.39;Appartement;3;864
865;76.55;Appartement;3;865
866;34.49;Appartement;2;866
867;42.12;Appartement;2;867
868;29.31;Appartement;2;868
869;104.68;Maison;4;869
870;23.61;Appartement;1;870
871;99.54;Maison;4;871
872;84.63;Maison;4;872
873;86;Appartement;4;873
874;80.62;Appartement;3;874
875;78.41;Appartement;4;875
876;27.01;Appartement;1;876
877;42.23;Appartement;1;877
878;23.13;Appartement;1;878
879;39.45;Appartement;3;879
880;16.41;Appartement;1;880
881;64.04;Appartement;4;881
882;73.61;Appartement;3;882
883;95.07;Appartement;4;883
884;19.51;Appartement;1;884
885;36.04;Appartement;1;885
886;42.07;Appartement;2;886
887;150;Appartement;3;887
888;75.37;Appartement;4;888
889;58.1;Appartement;1;889
890;75.41;Appartement;3;890
891;60.26;Appartement;3;891
892;38.7;Appartement;3;892
893;25.68;Appartement;2;893
894;23.11;Appartement;1;894
895;44.29;Appartement;2;895
