index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
3155;43;;TRA;PARANGON;13 008 ;MARSEILLE 8EME
3156;1691;;CHE;DES SEVERIERS;13 600 ;LA CIOTAT
3157;42;;RUE;HENRI TOMASI;13 009 ;MARSEILLE 9EME
3158;9;;TRA;DE LA GOUFFONNE;13 009 ;MARSEILLE 9EME
3159;20;;RUE;DE LA MAGALONE;13 009 ;MARSEILLE 9EME
3160;288;;RUE;PARADIS;13 008 ;MARSEILLE 8EME
3161;9001;;CITE;LE CORBUSIER;13 008 ;MARSEILLE 8EME
3162;1;;ALL;MURILLO;13 008 ;MARSEILLE 8EME
3163;20;;CHE;DU ROI D ESPAGNE;13 009 ;MARSEILLE 9EME
3164;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3165;123;;TRA;PARANGON;13 008 ;MARSEILLE 8EME
3166;11;;TRA;DE L OLYMPIQUE;13 008 ;MARSEILLE 8EME
3167;6;A;RUE;DE LA LIBERTE;13 600 ;LA CIOTAT
3168;131;;AV;DU PRADO;13 008 ;MARSEILLE 8EME
3169;471;;AV;D ALSACE;13 600 ;LA CIOTAT
3170;16;;RUE;PEYPAGAN;13 400 ;AUBAGNE
3171;62;;AV;JULES CANTINI;13 008 ;MARSEILLE 8EME
3172;16;;RUE;CANOLLE;13 600 ;LA CIOTAT
3173;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3174;149;;AV;PIERRE ROVARCH;13 600 ;LA CIOTAT
3175;49;;BD;DE MAILLANE;13 008 ;MARSEILLE 8EME
3176;11;;AV;BEAU SOLEIL;13 821 ;LA PENNE SUR HUVEAUNE
3177;3;;ALL;CERVANTES;13 009 ;MARSEILLE 9EME
3178;217;;AV;DE MAZARGUES;13 008 ;MARSEILLE 8EME
3179;4;;RUE;DU PONT;13 360 ;ROQUEVAIRE
3180;9291;;;LES CREISSAUDS OUEST;13 400 ;AUBAGNE
3181;46;;RUE;DES MOUSSES;13 008 ;MARSEILLE 8EME
3182;145;;BD;PERIER;13 008 ;MARSEILLE 8EME
3183;41;;AV;ANDRE ZENATTI;13 008 ;MARSEILLE 8EME
3184;8;;AV;GASCOGNE;13 008 ;MARSEILLE 8EME
3185;523;;RUE;PARADIS;13 008 ;MARSEILLE 8EME
3186;100;;CHE;DE ROUMAGOUA;13 600 ;LA CIOTAT
3187;203;;BD;DE CLAVEL;13 600 ;LA CIOTAT
3188;43;;RTE;NATIONALE 96;13 112 ;LA DESTROUSSE
3189;199;;AV;DU PRADO;13 008 ;MARSEILLE 8EME
3190;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3191;12;;RUE;DES COMBATTANTS;13 600 ;LA CIOTAT
3192;170;;AV;CAPORAL CHEF ALAIN DERUY;13 600 ;LA CIOTAT
3193;42;;RUE;LOUIS VIGNOL;13 600 ;LA CIOTAT
3194;4;;PL;D AMONT;13 390 ;AURIOL
3195;130;;CHE;DE MORGIOU;13 009 ;MARSEILLE 9EME
3196;97;;ALL;SURCOUF;13 600 ;LA CIOTAT
3197;7;;RUE;ELZEARD PREVOST;13 260 ;CASSIS
3198;9001;;RES;CENTRAL PARC;13 400 ;AUBAGNE
3199;391;;BD;ROMAIN ROLLAND;13 009 ;MARSEILLE 9EME
3200;130;;CHE;DE MORGIOU;13 009 ;MARSEILLE 9EME
3201;391;;BD;ROMAIN ROLLAND;13 009 ;MARSEILLE 9EME
3202;250;;CHE;ARENE CROS;13 600 ;LA CIOTAT
3203;9017;;TRA;DES AIRES NOUVEAUX;13 400 ;AUBAGNE
3204;41;;RUE;LOUIS VIGNOL;13 600 ;LA CIOTAT
3205;4;;RUE;BLANCHE;13 008 ;MARSEILLE 8EME
3206;9016;;AV;DES GOUMS;13 400 ;AUBAGNE
3207;14;;RUE;DES LAURIERS ROSES;13 850 ;GREASQUE
3208;9121;;RUE;DU GD CAVAILLON;13 420 ;GEMENOS
3209;367;;AV;DU PRADO;13 008 ;MARSEILLE 8EME
3210;314;;AV;DU PRADO;13 008 ;MARSEILLE 8EME
3211;9;;SQ;JEAN BOUIN;13 009 ;MARSEILLE 9EME
3212;461;A;CHE;DES BAGNOLS;13 600 ;LA CIOTAT
3213;82;;RUE;PORTALIS;13 600 ;LA CIOTAT
3214;126;;;LA PIGUIERE;13 360 ;ROQUEVAIRE
3215;9001;;;GRP PROVENCE AVE VERDUN;13 400 ;AUBAGNE
3216;122;;RUE;DU COMMANDANT ROLLAND;13 008 ;MARSEILLE 8EME
3217;9138;;;LE CLOS;13 390 ;AURIOL
3218;69;;RUE;DE LA REPUBLIQUE;13 400 ;AUBAGNE
3219;41;;AV;ANDRE ZENATTI;13 008 ;MARSEILLE 8EME
3220;62;;RUE;LIANDIER;13 008 ;MARSEILLE 8EME
3221;16;;TRA;DE POMEGUES;13 008 ;MARSEILLE 8EME
3222;9001;;;BEAUVALLON CENTRE;13 009 ;MARSEILLE 9EME
3223;148;;BD;GUERIN;13 600 ;LA CIOTAT
3224;29;;RUE;ROCCA;13 008 ;MARSEILLE 8EME
3225;112;;RUE;LIANDIER;13 008 ;MARSEILLE 8EME
3226;9001;;RES;LE MAZET;13 400 ;AUBAGNE
3227;9002;;RES;CLAIRETTE AVE CAMUSSO;13 600 ;LA CIOTAT
3228;11;;PARC;JEAN MERMOZ;13 008 ;MARSEILLE 8EME
3229;121;;CHE;DE L HOMME ROUGE;13 600 ;LA CIOTAT
3230;371;;BD;ROMAIN ROLLAND;13 009 ;MARSEILLE 9EME
3231;9001;;RES;LES ROMARINS;13 470 ;CARNOUX-EN-PROVENCE
3232;998;;AV;EMILE RIPERT;13 600 ;LA CIOTAT
3233;167;;AV;FRANKLIN ROOSEVELT;13 600 ;LA CIOTAT
3234;9001;;RES;CENTRAL PARC;13 400 ;AUBAGNE
3235;125;;TRA;PARANGON;13 008 ;MARSEILLE 8EME
3236;9005;;AV;JOSEPH FALLEN;13 400 ;AUBAGNE
3237;14;;SQ;MICHELET;13 009 ;MARSEILLE 9EME
3238;28;;AV;DE LA CADENELLE;13 008 ;MARSEILLE 8EME
3239;67;;BD;DES NEIGES;13 008 ;MARSEILLE 8EME
3240;44;;RUE;FARINIERE;13 009 ;MARSEILLE 9EME
3241;296;;BD;ROMAIN ROLLAND;13 009 ;MARSEILLE 9EME
3242;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3243;9001;;RES;BELLE PLAINE;13 600 ;LA CIOTAT
3244;9001;;;LE CAP DES TERRASSES;13 260 ;CASSIS
3245;9020;;VC;LE MAIL;13 470 ;CARNOUX-EN-PROVENCE
3246;584;;AV;D ALSACE;13 600 ;LA CIOTAT
3247;34;;BD;LUCIEN BAGNASCO;13 008 ;MARSEILLE 8EME
3248;12;;SQ;JEAN BOUIN;13 009 ;MARSEILLE 9EME
3249;168;;CHE;DE MORGIOU;13 009 ;MARSEILLE 9EME
3250;2;;RUE;MARIUS JAUFFRET;13 008 ;MARSEILLE 8EME
3251;34;;AV;FREDERIC MISTRAL;13 600 ;LA CIOTAT
3252;83;;BD;DU REDON;13 009 ;MARSEILLE 9EME
3253;671;;AV;EMILE RIPERT;13 600 ;LA CIOTAT
3254;9005;;AV;JOSEPH FALLEN;13 400 ;AUBAGNE
3255;121;;BD;PAUL CLAUDEL;13 009 ;MARSEILLE 9EME
3256;15;;RUE;MARIUS LIEUTAUD;13 600 ;LA CIOTAT
3257;9;;BD;LORD DUVEEN;13 008 ;MARSEILLE 8EME
3258;70;;CHE;JOSEPH AIGUIER;13 009 ;MARSEILLE 9EME
3259;57;;N;ROUTE NATIONALE 8;13 780 ;CUGES LES PINS
3260;210;;CHE;ARENE CROS;13 600 ;LA CIOTAT
3261;20;;RUE;FOUGASSE;13 600 ;LA CIOTAT
3262;15;;AV;DE BUCELLE;13 600 ;LA CIOTAT
3263;8;;RUE;COMPAS;13 600 ;LA CIOTAT
3264;11;;RUE;MARCEAU;13 400 ;AUBAGNE
3265;122;A;RUE;LIANDIER;13 008 ;MARSEILLE 8EME
3266;331;;AV;DU PRADO;13 008 ;MARSEILLE 8EME
